,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,male,group A,high school,standard,completed,67.0,67,63
1,female,group D,some high school,free/reduced,none,40.0,59,55
2,male,group E,some college,free/reduced,none,59.0,60,50
3,male,group B,high school,standard,none,77.0,78,68
4,male,group E,associate's degree,standard,completed,78.0,73,68
5,female,group D,high school,standard,none,63.0,77,76
6,female,group A,bachelor's degree,standard,none,62.0,59,63
7,male,group E,some college,standard,completed,93.0,88,84
8,male,group D,high school,standard,none,63.0,56,65
9,male,group C,some college,free/reduced,none,47.0,42,45
10,male,group E,some college,standard,completed,99.0,83,85
11,female,group D,high school,standard,completed,80.0,87,90
12,male,group D,associate's degree,standard,completed,77.0,87,85
13,male,group C,high school,standard,completed,74.0,74,73
14,male,group E,some high school,standard,completed,81.0,87,85
15,male,group E,associate's degree,free/reduced,none,69.0,61,57
16,male,group B,high school,standard,none,58.0,47,42
17,female,group C,associate's degree,standard,completed,54.0,62,65
18,female,group C,associate's degree,free/reduced,none,23.0,44,44
19,male,group C,some college,free/reduced,none,39.0,32,31
20,female,group C,associate's degree,standard,none,83.0,76,88
21,male,group C,associate's degree,standard,none,58.0,52,55
22,male,group B,some college,standard,completed,71.0,69,73
23,female,group B,some college,free/reduced,none,44.0,55,54
24,male,group E,some high school,free/reduced,none,46.0,38,32
25,male,group C,high school,free/reduced,none,51.0,45,42
26,female,group C,some high school,standard,none,53.0,60,56
27,male,group E,high school,standard,none,71.0,68,60
28,female,group B,high school,standard,completed,74.0,89,89
29,female,group A,some high school,free/reduced,none,33.0,54,51
30,male,group B,some college,standard,none,87.0,79,77
31,male,group A,bachelor's degree,free/reduced,none,78.0,74,73
32,male,group A,some high school,free/reduced,completed,40.0,41,39
33,female,group B,associate's degree,standard,completed,65.0,65,71
34,female,group B,bachelor's degree,standard,completed,79.0,88,89
35,female,group A,bachelor's degree,standard,none,68.0,74,74
36,female,group C,some college,standard,completed,57.0,77,75
37,male,group B,high school,free/reduced,none,67.0,65,54
38,female,group B,some college,free/reduced,completed,58.0,68,73
39,male,group E,associate's degree,standard,none,98.0,81,77
40,female,group B,master's degree,free/reduced,none,54.0,75,72
41,male,group D,high school,standard,none,77.0,67,64
42,male,group E,high school,standard,completed,87.0,79,82
43,female,group C,master's degree,standard,none,58.0,70,70
44,male,group E,high school,standard,none,,88,87
45,male,group C,bachelor's degree,standard,none,60.0,46,51
46,male,group C,associate's degree,free/reduced,none,64.0,63,57
47,female,group E,some high school,standard,completed,65.0,76,78
48,female,group D,high school,standard,none,68.0,72,73
49,male,group C,associate's degree,free/reduced,completed,60.0,63,57
50,male,group D,high school,standard,none,65.0,68,64
51,female,group C,some high school,free/reduced,none,52.0,58,60
52,female,group C,associate's degree,standard,none,74.0,81,85
53,female,group C,high school,free/reduced,none,36.0,53,49
54,male,group D,high school,free/reduced,none,57.0,57,47
